name,fips,county,state
"Moffat County, Colorado, United States",8081,Moffat County,Colorado
"Montezuma County, Colorado, United States",8083,Montezuma County,Colorado
"Montrose County, Colorado, United States",8085,Montrose County,Colorado
"Morgan County, Colorado, United States",8087,Morgan County,Colorado
"Otero County, Colorado, United States",8089,Otero County,Colorado
"Ouray County, Colorado, United States",8091,Ouray County,Colorado
"Park County, Colorado, United States",8093,Park County,Colorado
"Phillips County, Colorado, United States",8095,Phillips County,Colorado
"Pitkin County, Colorado, United States",8097,Pitkin County,Colorado
"Prowers County, Colorado, United States",8099,Prowers County,Colorado
"Pueblo County, Colorado, United States",8101,Pueblo County,Colorado
"Rio Blanco County, Colorado, United States",8103,Rio Blanco County,Colorado
"Rio Grande County, Colorado, United States",8105,Rio Grande County,Colorado
"Routt County, Colorado, United States",8107,Routt County,Colorado
"Saguache County, Colorado, United States",8109,Saguache County,Colorado
"San Juan County, Colorado, United States",8111,San Juan County,Colorado
"San Miguel County, Colorado, United States",8113,San Miguel County,Colorado
"Sedgwick County, Colorado, United States",8115,Sedgwick County,Colorado
"Summit County, Colorado, United States",8117,Summit County,Colorado
"Teller County, Colorado, United States",8119,Teller County,Colorado
"Washington County, Colorado, United States",8121,Washington County,Colorado
"Weld County, Colorado, United States",8123,Weld County,Colorado
"Yuma County, Colorado, United States",8125,Yuma County,Colorado
"Fairfield County, Connecticut, United States",9001,Fairfield County,Connecticut
"Hartford County, Connecticut, United States",9003,Hartford County,Connecticut
"Litchfield County, Connecticut, United States",9005,Litchfield County,Connecticut
"Middlesex County, Connecticut, United States",9007,Middlesex County,Connecticut
"New Haven County, Connecticut, United States",9009,New Haven County,Connecticut
"New London County, Connecticut, United States",9011,New London County,Connecticut
"Tolland County, Connecticut, United States",9013,Tolland County,Connecticut
"Windham County, Connecticut, United States",9015,Windham County,Connecticut
"Kent County, Delaware, United States",10001,Kent County,Delaware
"New Castle County, Delaware, United States",10003,New Castle County,Delaware
"Sussex County, Delaware, United States",10005,Sussex County,Delaware
"Alachua County, Florida, United States",12001,Alachua County,Florida
"Baker County, Florida, United States",12003,Baker County,Florida
"Bay County, Florida, United States",12005,Bay County,Florida
"Bradford County, Florida, United States",12007,Bradford County,Florida
"Brevard County, Florida, United States",12009,Brevard County,Florida
"Broward County, Florida, United States",12011,Broward County,Florida
"Calhoun County, Florida, United States",12013,Calhoun County,Florida
"Charlotte County, Florida, United States",12015,Charlotte County,Florida
"Citrus County, Florida, United States",12017,Citrus County,Florida
"Clay County, Florida, United States",12019,Clay County,Florida
"Collier County, Florida, United States",12021,Collier County,Florida
"Columbia County, Florida, United States",12023,Columbia County,Florida
"DeSoto County, Florida, United States",12027,DeSoto County,Florida
"Dixie County, Florida, United States",12029,Dixie County,Florida
"Duval County, Florida, United States",12031,Duval County,Florida
"Escambia County, Florida, United States",12033,Escambia County,Florida
