fips,zip,pop_prop,hrrnum,cbsa_id,population,state_id
47181,38425,0.219496599,380.0,,3659.6667951269997,tn
47181,38450,0.176655235,380.0,,2945.372733155,tn
47181,38452,0.077312097,1.0,,1289.0245932809999,tn
47181,38463,0.128698483,1.0,,2145.789807059,tn
47181,38471,0.020752193999999998,1.0,,346.00133056199996,tn
47181,38485,0.377085392,380.0,,6287.144740816,tn
47183,38225,0.17541030300000002,374.0,,5846.074578384,tn
47183,38226,0.008411599,374.0,,280.341771472,tn
47183,38229,0.090472125,374.0,,3015.254982,tn
47183,38230,0.11687695699999999,374.0,,3895.275222896,tn
47183,38237,0.506055719,374.0,,16865.825002832,tn
47183,38241,0.031559308,374.0,,1051.8086170240001,tn
47183,38255,0.07121399,374.0,,2373.4198587200003,tn
47185,38559,0.039702952,380.0,,1085.67722244,tn
47185,38579,0.034305379,380.0,,938.0805887549999,tn
47185,38583,0.87263177,380.0,,23862.115750650002,tn
47185,38587,0.053359899,380.0,,1459.126438155,tn
47187,37014,0.011060258,380.0,34980.0,2636.898230296,tn
47187,37027,0.222699786,380.0,34980.0,53094.301379832,tn
47187,37046,0.02059357,380.0,34980.0,4909.754210839999,tn
47187,37060,0.009468679,380.0,34980.0,2257.446697748,tn
47187,37062,0.04740803,380.0,34980.0,11302.64324836,tn
47187,37064,0.22880352899999998,380.0,34980.0,54549.506955947996,tn
47187,37067,0.11955015699999999,380.0,34980.0,28502.192030683997,tn
47187,37069,0.08175219,380.0,34980.0,19490.70312228,tn
47187,37135,0.050009492999999995,380.0,34980.0,11922.863245116,tn
47187,37174,0.140870844,380.0,34980.0,33585.299659728,tn
47187,37179,0.063574265,380.0,34980.0,15156.86766718,tn
47187,38476,0.0042092,380.0,34980.0,1003.5237903999999,tn
47189,37087,0.375035025,380.0,34980.0,54251.441611425005,tn
47189,37090,0.120878065,380.0,34980.0,17485.858248705,tn
47189,37122,0.45603669799999996,380.0,34980.0,65968.90062258599,tn
47189,37184,0.048050212,380.0,34980.0,6950.799517284,tn
48001,75763,0.107259028,416.0,,6192.5999815800005,tx
48001,75779,0.002240441,416.0,,129.351861135,tx
48001,75801,0.27127589,416.0,,15662.113509150002,tx
48001,75803,0.367930165,416.0,,21242.448076275,tx
48001,75832,0.0020080989999999997,416.0,,115.93759576499998,tx
48001,75839,0.08845592099999999,416.0,,5107.002598935,tx
48001,75853,0.008928571,416.0,,515.491046685,tx
48001,75861,0.151901885,416.0,,8770.055330475,tx
