fips,pop
41023,7166
41025,7375
41027,23347
41029,220815
41031,24647
41033,87679
41035,68343
41037,7939
41039,382064
41041,50125
41043,129598
41045,30698
41047,347557
41049,11607
41051,812439
41053,85851
41055,1790
41057,27132
41059,77744
41061,26733
41063,7169
41065,26532
41067,600933
41069,1348
41071,106927
42001,102776
42003,1215716
42005,64699
42007,163956
42009,47913
42011,420375
42013,121942
42015,60429
42017,628497
42019,188313
42021,130107
42023,4425
42025,64125
42027,162095
42029,525059
42031,38498
42033,79183
42035,38302
42037,65020
42039,84421
42041,253133
42043,278427
42045,566506
42047,29894
42049,269529
42051,129422
42053,7030
42055,155522
42057,14502
42059,36062
42061,44894
42063,84022
42065,43299
42067,24760
42069,209808
42071,545441
42073,85504
42075,141318
42077,369308
42079,317438
42081,113581
42083,40631
42085,109296
42087,46090
42089,170083
42091,830397
42093,18181
42095,305515
42097,90684
42099,46326
42101,1584439
42103,55826
42105,16545
42107,141166
42109,40393
42111,73442
42113,5959
42115,40241
42117,40665
42119,44498
42121,50875
42123,39171
42125,206866
42127,51271
42129,348941
42131,26790
42133,449341
44001,48527
44003,164233
44005,82472
44007,637052
44009,125874
45001,24584
45003,171300
45005,8627
45007,202424
45009,14108
45011,20924
45013,192638
45015,228952
