zip,pop
07960,43708
07961,3
07970,116
07974,12203
07976,753
07977,680
07979,582
07980,2304
07981,8857
08001,796
08002,21962
08003,30200
08004,12177
08005,23640
08006,545
08007,5176
08008,7345
08009,12674
08010,11451
08011,32
08012,38887
08014,509
08015,20606
08016,33286
08019,918
08020,2226
08021,44205
08022,8716
08023,425
08026,2242
08027,4944
08028,20311
08029,4717
08030,13222
08031,11421
08033,16033
08034,17897
08035,7460
08036,5872
08037,23464
08038,117
08039,138
08041,994
08042,201
08043,28723
08045,2868
08046,31348
08048,12400
08049,5275
08050,25574
08051,10882
08052,19027
08053,45194
08054,41548
08055,26973
08056,4791
08057,20930
08059,5533
08060,24526
08061,2703
08062,15938
08063,3138
08064,308
08065,7342
08066,8534
08067,1543
08068,6676
08069,12344
08070,12328
08071,9661
08072,212
08073,201
08074,58
08075,28676
08077,18168
08078,8267
08079,10372
08080,37867
08081,49932
08083,9322
08084,6941
08085,18945
08086,7788
08087,25338
08088,24477
08089,4193
08090,8455
08091,5282
08092,3868
08093,9854
08094,40242
08095,232
08096,36535
08097,3331
08098,8581
08102,7459
08103,14977
08104,23517
08105,28670
08106,9735
08107,13483
08108,17792
08109,22093
08110,18742
08201,9610
08202,1366
08203,9079
08204,17559
08205,27491
08210,16244
08212,278
08215,12930
08217,67
08221,6810
08223,3903
08224,568
08225,8315
08226,11072
08230,5298
08232,18527
08234,40846
08240,2277
08241,1059
08242,3043
08243,2000
08244,10419
08246,87
08247,875
08248,149
08251,9807
08260,12927
08270,8044
08302,44654
08310,1603
08311,1960
08312,7966
08314,2393
08316,381
08317,1290
08318,11992
08319,1203
08320,1196
08321,235
08322,10646
08323,766
08324,501
08326,1691
08327,2925
08328,1362
08329,210
08330,27050
08332,35040
08340,937
08341,2150
08343,4970
